,description,id,title
0,"Dubbed “The Most Innovative Streaming Video Service” by Forbes, Rakuten Viki is the world’s leading platform for Asian entertainment and lifestyle, where tens of millions of people watch their favorite TV shows, movies, and influencer videos and engage with the content. With more than a billion words translated into 200+ languages by a community of avid fans, Viki brings global entertainment to fans everywhere.

Soompi, also part of Rakuten Viki, is one of the biggest global K-pop news sites and the longest-running fandom community. From innovative engagement features to original content and social shopping, Rakuten Viki and Soompi are pushing the boundaries of user engagement and social viewing.

At Rakuten Viki, our engineering teams utilize leading-edge technologies to build a world class product. You will join a diverse and talented team with great ambitions to change the digital entertainment landscape. We are looking for top talent across APAC to join our Growth Analytics team as a Data Analyst. If you are inspired to take up new challenges then come be a part of our Rakuten Viki team in Singapore.

Viki is seeking a smart, hard-working, and analytical Data Analyst for our Data Team. At Viki, we handle terabytes of data to help us understand our users and learn about content trends. Our data team is first and foremost responsible for collecting, processing and organizing these large amounts of data using advanced and scalable techniques. They then analyze these complex datasets to generate deeper insights and help various teams at Viki effectively utilize it for crucial decision making.

Responsibilities:

Create useful reports and dashboards to help generate insights for Product and Growth teams by analyzing A/B tests and data from experiments
Work with engineers to ensure that data collection has been correctly implemented
Conduct inferential analysis and predictive analysis to model user behavior and relevant metrics
Analyze content consumption data to help content and marketing teams identify which shows perform well on Viki
Deep dive into big data and provide business intelligence and analytics support to key company-wide business initiatives

Qualifications:

BS in Computer Science, Mathematics or a related discipline with 2-4 years of relevant work experience
Outstanding quantitative and analytical skills
Highly proficient in writing complex SQL queries
Deep understanding of the usage and interpretation of statistical methods
Interest in large scale data mining, gathering insights and reporting
Prior experience with Ruby, R or Python preferred
Experience with Hadoop or MapReduce is a plus
Prior experience working in a high-growth tech company is also a plus

We’re small but diverse, with more than 25 nationalities and 40 languages represented among our 100+ employees. Come break down barriers that stand between great entertainment and its fans everywhere and help us make a difference as we grow.",2abc0718a6987824,Data Analyst
1,"Title: Data Analyst

Role:

Reporting to the Director of performance, you will be responsible for implementation, tracking and reporting for a set of key digital clients. We will invest in your career growth, giving you ample opportunity to take ownership of projects and work with cross-functional teams within the agency and its network.

Responsibilities:

Define measurement framework for the clients under your portfolio.
Mine data to derive insights on user behavior and performance.
Articulate the data story to business teams.
Help recommend best practices on tagging, tracking, and reporting.
Collaborate with the tech/development team as required.
Drive a data-driven culture.
Requirements:

1-2 years working experience as a data analyst
Working knowledge of SQL beneficial
Hands-on experience in Google Analytics or Adobe Omniture
Hands-on experience in GTM and DTM
Strong communication skills
Passion in behaviour science, marketing intelligence, and data storytelling
Logical thinking and data driven

Required Skills

Required Experience",c95dd846041ca1c5,Data Analyst
2,"What is the job ?


The role will involve maintaining the highest quality of commercial and trade data for Kpler's online energy platforms. You will be required to stay informed on the latest news and reports in the Energy industry. You will be placed in charge of ensuring and improving the reliability of daily shipping data and accuracy of cargo metrics available to our clients.


The role will require considerable levels of data collection, interpretation, and integration into our databases.


You will also be required to participate in various medium and long-term data projects, and contribute research across various commodity markets.


We are looking for candidates who demonstrate strong capacities in logical thinking, attention to details, and an interest in energy markets. You will be working with a small team in Singapore, while frequently collaborating with our head office in Paris.",59df81c8a00dc826,Junior Data Analyst
3,"Data Analyst - (180000E0)
Description

Understanding and collating the team's data and reporting requirements; translating the requirements into user specifications
Designing and streamlining the team's data model
Working with internal stakeholders, including Business Units and other data providers, to extract the information in an efficient manner
Transforming and loading the extracted data into the data model to improve productivity
Enhancing and maintaining the team's data extraction capabilities
Developing dashboards and reports to support the team's analytical capabilities

Qualifications

At least 1 years of experience with Big Data open source tools (Hadoop, Spark), Big Data proprietary tools (Hortonworks, Cloudera) programing experience (Python, R, Hive) BI tools (Tableau, Spotfire, Microstrategy, Cognos, etc). Ability to manage basic software development life cycle
Strong knowledge of SharePoint
Good communication skills, both spoken and written
Good analytical and problem solving skills
Keenness for data mining and analysis
Good understanding of incepting and delivering high quality analytical reports
Creativity and ability to think ""out of the box""
Primary Location: Singapore
Job: Data Centre
Organization: Group Operations & Technology Division
Schedule: Permanent
: Full-time
Job Posting: Mar 1, 2018, 7:24:55 AM",6d9971d09cb788a6,Data Analyst
4,"Your Responsibilities :

The Role


In this newly created role of Data Insights Specialist within our Global Tech Organisation, you will be the cornerstone for the data strategy for the South East Asia region. You would own data for SEA and help bring visibility, insights to our Consumer Healthcare business that would make things more successful for our overall sales and operations strategy. You would also be driving the Business Intelligence (BI) strategy in alignment with global BI policies and help business with power BI and other data analysis cases.


This role requires strong understand of Data platform technologies. You, as the successful candidate, will have to conceptualize, design and do proof of concepts on your own before the business decides to fund a project. You will bring the tech expertise in data science and machine learning to tap the hidden potential in the sales & marketing data that the market already has. Lastly, you will need to have proven experience in BI especially in visualization tools to promote the global strategy of Power BI within the organization.


In this role, your key responsibilities will be:


1. Responsible for the design and implementation of models and systems to harness the power of data and analytics

2. Architects, plans and drives data integration work & Integrate systems and data effectively and efficiently, working across teams as necessary

3. Build systems and solutions to extract data from multiple sources including sales, inventory, product, and customer databases to create integrated views that can be used to drive decision making

4. Align business intelligence/data strategy for SEA business to achieve long range corporate goals

5. Use strong business acumen, as well as an ability to communicate findings, and mine vast amounts of data for useful insights

6. Use insights to influence how an organization approaches business challenges

7. Build and deploy Machine Learning Algorithms, Advanced Analytics, and Data

8. Responsible for optimizing BI dashboards with a focus on usability, performance, flexibility, testability, and standardization

9. Responsible for building data visualizations with a strong understanding of the appropriate chart types to use to highlight patterns in the data


What We Can Offer You


GSK’s dedication to the wellbeing of our employees is reflected in the benefits we offer; including healthcare for yourself and dependents, performance related bonus, long term incentives and a host of other flexible offerings you can tailor to your own preferences. We also offer a range of employee health and wellbeing programs including our truly unique Partnership for Prevention program, a global commitment by GSK to provide all employees with up to 40 preventative healthcare services bringing to life our mission to: do more, feel better and live longer.


-

Application Process


At GSK we value diversity and treat all candidates equally. We aim to create an inclusive workplace where all employees feel engaged, supportive of one another, and know their work makes an important contribution.

If you would like to join us in innovating and inspiring changes in the industry, we urge you to apply.

Closing date for applications: 6-Apr-2018


*LI-GSK


Why You? 

Basic qualifications:

Requirements

You are a passionate Data Insights professional, strong on the technical elements of the role and also with proven business/domain analysis with project and/or programme leadership, and the following attributes:


1. Degree holder with a sepcialisation in Statistics, Engineering, Mathematics. Commerce or any similar discipline

2. Four to six years relevant experience

3. Proven track record for designing and implementing models and systems harnessing data and analytics in an MNC environment

4. Ability to build solutions that involve extracting data from multiple sources including sales, inventory product and customer databases to create integrated views and drive decision making

5. Experience in building and deploying Machine Learning Algorithms, Advanced Analytics and Data

6. Experience in building and optimising BI dashboards with a focus on usability, performance, flexibility, testability and standardisation

7. Ability to influence, communicate and sell complex technical ideas effectively across all levels in the organisation


Preferred qualifications:

1. A post-graduate degree in Business or any related discipline

2. Certification in Machine Learning, Artificial Intelligence or similar


Why GSK? :

Our Company


At GlaxoSmithKline (GSK) we are dedicated to improving the quality of human life by enabling people to do more, feel better, live longer. GSK is one of the world’s leading research based healthcare companies, with over 100,000 employees in 150 countries across our Pharmaceuticals, Vaccines and Consumer Healthcare business.


We are proud of the difference we make and in 2016, FORTUNE Magazine ranked GSK #1 on its list of companies that are changing the world. The 'Change the World' list recognises companies that have made significant progress in sustainable, scalable approaches to addressing societal problems as part of their company strategy. Put simply, our focus is on improving access and affordability of medicines, regardless of where people live or their ability to pay.


GSK has been present in Asia for over 50 years and our commitment to the region is strengthened by the establishment of our purpose-built headquarters for Asia. Situated in Singapore, GSK Asia House is a further step in our long-standing strategy to grow and diversify our company - emphasizing the globally balanced business we have built over the years. To better support Asia, we focus on developing talent to improve our ability to make the right decisions for healthcare professionals, patients and consumers across the region.


Our support functions include finance, human resources (HR), legal, information technology (IT), procurement, communications, and core business services (CBS). Together, they provide essential support and services that make sure that we operate efficiently and effectively. Our support functions have a global focus, employing more than 8,000 people across the world. You’ll have the opportunity to develop your career within a specific function, and in this role specifically sitting within our GSK Consumer Healthcare business, you’ll have an opportunity to join us in our journey to be the world’s best Fast Moving Consumer Healthcare company.


Contact information:

You may apply for this position online by selecting the Apply now button.


Important notice to Employment businesses/ Agencies


GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site.",b4c4860763098784,Data Insights Analyst
5,"Mastercard is continuing our growth momentum in the region to deliver on our key strategic pillars (increase carded share, Win digital, Domestic Relevance and Lead with Services). To ensure that our objectives are met, we need to have robust analytics to leverage insights and understand market trends based on internal and published data sources


This role will involve substantial exposure and interactions with senior management in the Mastercard Asia-Pacific HQ office (incl. Country Managers, Group Executives and Co-Presidents)


A significant portion of the role will be to support with business analytics, such as regular ongoing performance vs. industry (market growth and share); customer business reviews, bespoke customer requests, analyses of strategic programs, etc.


The role also includes driving the overall effectiveness and usage rate of Mastercard’s sales aid tools and best practice implementations, as well as other ad-hoc initiatives


Are you a team player enjoys working with data and turning it into meaningful, actionable insights? Can you tell the “story” from the insights?


Do you enjoy working with a diverse group of people?


Are you a problem solver and have the ability to look for the blind spots not just be process-driven?


Do you like to take on challenges and high exposure initiatives and projects which are huge development opportunities?
 

The Role


Proactively develop and design new data presentations, laying the bedrock for a “story” to be intuitively understood when viewed by Key stakeholders (incl. Senior leadership, Country Managers, Co-Presidents, etc.)

Develop market performance reviews for the region by market, issuers on an on-going quarterly basis

Participate in designing solutions, define functional requirements by applying a robust methodology to support on-time tracking of the goals and objectives

Be the “data interface for Business” – Engage with Datawarehouse (DWH) Adhoc Services to define and convey requirements of the business, and to build and operationalize complex data queries to automate (to bring in efficiencies and scalability)

Gain an understanding of the architecture behind how Mastercard O&T DWH teams structures and maintains its various databases and data tools, in order to become a subject-matter expert to questions from Business Development and Sales teams

Translates into data metrics, dashboards and MI reporting and tracking

Test and learn and implement solutions and evolve analytics to the next level on an ongoing basis


Train-the trainer and transfer knowledge and skills to upskill the local accounts teams in markets with the skills necessary to perform analytics, dashboards, business reviews and to transfer the required skills on the ground as and when needed
Build repository and share learnings (best-in-class/worst practices) with country teams/stakeholders
Be the team player – project manage across multiple functions internally (Product, Business Development, Sales, etc.) in order to facilitate and expedite executive priorities strategic to the company and share best practices
Support with following through on execution of the plans/prioritized initiatives
Actively engage and support in developing win-win strategies and initiatives by identifying customer needs
All About You
Strong analytical skills with the ability to synthesize data and draw insights
Highly proficient in Excel (complex formulas – LOOKUP, MATCH, INDEX and others, keyboard shortcuts, pivot tables, etc.)
Good story-telling presentation skills and proficiency in PowerPoint
Ability to present to senior management both internally and externally
Strong communication and interpersonal skills with the ability to manage and gain respect at all levels
Team player with high EQ / DQ and collaboration skills with ability to build trust and respect
Strong Project management, problem solving and conflict resolution skills
Ability to think outside the box and challenge the status quo
Customer-centric and passionate in making a difference
Understanding of payments and the changing digital landscape
Flexible to travel from time to time
Equal Opportunity Employer",4fa8672c4820336f,Strategy and Operations Analyst
6,"Key Responsibilities:
Explore and examine data from multiple diverse data sources.
Conceptual modeling, statistical analysis, predictive modeling and optimization design.
Understand and work around limitations in analytic models.
Data cleanup, normalization and transformation.
Process optimization design based on historical data.
Hypothesis testing: being able to develop hypothesis and test with careful experiments.
Discover hidden insights/embedded patterns and enable business stakeholders to make more informed decisions.
Collaborate in deploying systems that drive improved margins, increase hydrocarbon production, improve safety, etc.
Help build workflows for extraction, transformation and loading of different data from a variety of sources and enable linking them to existing systems and datasets.
Ensure the integrity and security of institutional data.
Develop and implement cyber intelligence feed quality analysis metrics
Improve false positive detection rates

Desired Skills and Experience:
Master’s degree in MIS, Computer Science, Statistics, Mathematics, or other IT related field.
Experience working in a field related to statistics or data mining.
Experience performing data manipulation and pattern analysis.
Experience with knowledge management.
Experience in data science or a related field.
Expertise in applying machine learning algorithms.
Expertise in applying statistical analysis.
Expertise in data analytics and data visualization.
Knowledge of big data solution, database scripting skill, Python, Kibana, Hadoop, Spark is a plus",78c835a1b40cd010,Data Scientist Analyst
7,"Do you have a knack for analyzing business processes? Are you able to manage data/reports efficiently and meet deadlines? We’re looking for someone like that who can help us:

regularly evaluate and develop proposals to improve existing controls, put new controls into action and systematically track these
conduct requirement-gathering activities such as analyzing and evaluation processes by using a variety of internal and external data
assist in quality control and project management

You’ll be working in the Front Line Support (FLS) team in Wealth Management Operating Office. Front Line Support is a dedicated independent team as a 1st line of Defense in the Control Risk Framework to execute ex-post Controls. We perform the necessary controls to ensure callback/voice logs/documentations pertaining Regulatory, Cross border activities and Investment Suitability criteria are fulfilled by Front Line staffs based in Singapore and Hong Kong.

You have:
– a university degree, ideally
– experience in a financial services environment
– Microsoft applications knowledge, preferably Intermediate level

You are:
– a clear communicator, with exceptional interpersonal skills
– an analytic thinker, with the ability to provide practical solutions
– a self-starter, willing to take on responsibility (you can micromanage yourself)
– open to continuous learning and continuous education both within the team and with Business Partners

fluent in English, Mandarin and Cantonese (the role requires you to interact with stakeholders supporting Chinese clients)

Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.

We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?
Together. That’s how we do things. We offer people around the world a supportive, challenging and diverse working environment. We value your passion and commitment, and reward your performance.

Keen to achieve the work-life agility that you desire? We're open to discussing how this could work for you (and us).

Why UBS? Video
Are you truly collaborative? Succeeding at UBS means respecting, understanding and trusting colleagues and clients. Challenging others and being challenged in return. Being passionate about what you do. Driving yourself forward, always wanting to do things the right way. Does that sound like you? Then you have the right stuff to join us. Apply now.
UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.",661651f2fada1de2,Business Data Analyst
8,"About the Business Analyst position

We are looking for an experienced Business Analyst who assist in improving the communication between our information technology capacity and our business objectives. Your duties will include supporting and ensuring the successful completion of analytical, building, testing and deployment tasks of our software product’s features.

You should have good understanding of business processes as well as principles of technical teams' work. We also expect you to have good analytical capabilities and to be a result-driven team player.

Business Analyst responsibilities


Build and maintain relationships with partners, working with them to optimize and enhance our integration
Develop configuration specifications and business analysis requirements
Perform quality assurance and define reporting and alerting requirements
Participate in designing, documenting and maintaining of system processes
Explore on common sources of technical issues or questions and make recommendations to product team
Interact with the product team to share key insights and findings
Search for ways to improve monitoring, discover issues and deliver better value to the customer
Participate in user requirement/system analysis including:

Understand the relevant “as-is” user/system processes, source to target data models/flow and participate in gap analysis between the new and the “as-is” target system and data

Document Functional Specifications, data model and data mapping specification. Participate the documents’ review sessions and revise/finalize the documents

Communicate clearly to the technical team (internal or customer) the functionalities / data mapping design

Perform SIT result verification

Support UAT on functional / data mapping related issues

Track and follow up the relevant outstanding items / issues

Business Analyst requirements

Bachelor degree in Finance, Mathematics, Statistics, Computing, IT or related fields
1-3 years working experience in IT systems / projects and involved in user requirement analysis, system analysis and system design including document preparation (such as functional specification, data mapping specification)
Proficient in Microsoft Office applications e.g. MS Word, MS Excel, MS Power Point
Experience in data integration and transformation is advantageous
Experience in banking environment, banking regulatory reporting / internal management reporting or data warehouse is advantageous
Able to work in a fast-paced and deadline-oriented environment
Significant experience in eliciting requirements and testing
Significant experience in analysing data to draw business-relevant conclusions
Good knowledge of data visualization techniques and tools
Familiarity with SQL queries, Informatica ETL and/or Oracle and/or PL/SQL is advantageous.
Strong written and verbal English communication skills including technical writing skills
Banking knowledge such as Current/Saving a/c, Time deposits, loans.
Having treasury / trade financing knowledge is an advantage
Data Warehouse / data sourcing (ETL) for regulatory reporting
System functionality analysis
Write function spec, test plan/test cases
Basic skill of SQL
Experienced in data analysis jobs is an advantage",97326f6a06a4d7dc,Business Analyst/Junior PM
9,"About JLL

We’re JLL. We’re a professional services and investment management firm specializing in real estate. We help organizations around the world achieve their ambitions by owning, occupying and investing in real estate.

We’re a Fortune 500 company. We work across 80 countries, in 280 different offices, with a team of over 77,000 individuals. And we look after a property portfolio of over 4bn square feet, all on behalf of our clients.

If you’re looking to step up your career, JLL is the perfect professional home. At JLL, you’ll have a chance to innovate with the world’s leading businesses, put that expertise into action on landmark projects, and work on game-changing real estate initiatives. You’ll also make long-lasting professional connections through sharing different perspectives, and you’ll be inspired by the best. We’re focused on opportunity and want to help you make the most of yours.

Achieve your ambitions – join us at JLL!

We are looking for Data Analyst.

What’s your ambition? Is it a big goal or small steps? Professional or personal? We’d like to know, because we make your ambitions our business. And if you have ambitions in property consultancy, helping you achieve them is what we do best.

What this job involves
Accurately and completely extrapolate data and create reports, charts and summaries using statistical facts and figures; ability to summarize information verbally and in writing when required. Ability to work with on-site team to explain data trends and anomalies.*
Create custom views, adhoc analysis, dashboards and report sets utilizing business intelligence and query tools.*
Performs general day-to-day data operations including designing & executing ETL processes, running data integrity validation and management of databases.
Work with on-site team to obtain necessary information and ensure system accuracy.
Validate and test data used in all reporting.*
Work with on-site management to design and execute analyses focused on specific problems or programs.*
Must thrive in a fast-paced and dynamic environment.*
Other duties as assigned.
Some travel may be required.

Sound like you? To apply you need to be:
Bachelor’s degree in information technology, statistics or mathematics or related discipline or equivalent work experience.
Solid customer service skills.
Experience using Microsoft Excel and/or Google spreadsheets for report generation and data manipulation.
Experience using Microsoft PowerPoint and Microsoft Word to present findings, reports and analyses
Strong interpersonal and communication skills, both oral and written, including advanced negotiation skills.
Demonstrated team and collaboration skills.
Strong organizational skills.
Strong analytical, technical, problem-solving and conceptual skills.
One – Three years experience with data analysis.
Experience with data quality control and normalization.
Experience with data visualization tools such as Tableau or equivalent.
Experience with Structured Query Language (SQL) and database design concepts.
Strong attention to detail and quality.

Highly preferred
Experience with Financial Analysis.
Experience with ETL platforms and ETL workflow design and execution.
Knowledge of CAFM/IWMS systems.
Understanding of Facilities, Real Estate and Asset Management industry and practices.

What you can expect from us

You will be given a remarkable opportunity to contribute and hone your technical competencies at one of our most prestigious projects.

You’ll join an entrepreneurial, inclusive culture. One where we succeed together – across the desk and around the globe. Where like-minded people work naturally together to achieve great things.

Our Total Rewards program reflects our commitment to helping you achieve your ambitions in career, recognition, wellbeing, benefits and pay. We’ll offer you a competitive salary and benefits package.

Join us to develop your strengths and enjoy a fulfilling career full of varied experiences. Keep those ambitions in sights and imagine where JLL can take you...

Apply today!",53e76364e1623728,Data Analyst
